Player,Team,MPG,True Usage,Shot Usage,Assist Usage,Turnover Usage,True TO%,Time of Possession%,Shot/Touch %,% Touches Ending Possession
Brook Lopez,BKN,29.2,0.322800769971126,0.266496631376323,0.0312800769971126,0.0250240615976901,0.0775216911655088,0.0376712328767123,0.612859672421425,0.670407259849491
Jerryd Bayless,MIL,22.3,0.363931924882629,0.169096244131455,0.15580985915493,0.0390258215962441,0.107233850420873,0.157657657657658,0.187572828174332,0.230862871464375
Jason Thompson,SAC,24.6,0.187014406358669,0.12193740685544,0.0442126179831098,0.0208643815201192,0.111565637783563,0.0326530612244898,0.386034442085398,0.452087756546355
Brandon Rush,GSW,8.2,0.160068965517241,0.101448275862069,0.0396551724137931,0.0189655172413793,0.118483412322275,0.0365853658536585,0.220127197904976,0.261279461279461
Robin Lopez,POR,27.8,0.215168608215819,0.151097486204782,0.0416922133660331,0.0223789086450031,0.104006382857469,0.0251798561151079,0.488532064624839,0.56088809594608
Marreese Speights,GSW,15.9,0.367336448598131,0.282056074766355,0.0533489096573209,0.0319314641744548,0.0869270237035152,0.0377358490566038,0.498980435381648,0.555469826398457
Roy Hibbert,IND,25.3,0.286331392271043,0.211688724192695,0.0463208046585495,0.0283218634197988,0.0989128827096583,0.0434782608695652,0.457528604118993,0.518741418764302
JJ Hickson,DEN,19.3,0.263310249307479,0.189556786703601,0.0405124653739612,0.0332409972299169,0.126242701593814,0.0309278350515464,0.493366979091565,0.579884643114636
Alexis Ajinca,NOP,14.1,0.289219006007646,0.203473511742217,0.0480611687602403,0.0376843255051884,0.130296850215273,0.0425531914893617,0.472312373225152,0.559787018255578
Ryan Anderson,NOP,27.5,0.298609756097561,0.242512195121951,0.0371951219512195,0.0189024390243902,0.063301478395818,0.04,0.486567164179105,0.524492292635185
Courtney Lee,MEM,30.6,0.237155247181266,0.15172593235039,0.0685169124024285,0.0169124024284475,0.0713136337039204,0.0457516339869281,0.268076466306555,0.297958089108532
Kosta Koufos,MEM,16.6,0.209939301972686,0.15,0.033763277693475,0.0261760242792109,0.124683773039393,0.0301204819277108,0.396868413128576,0.466124661246612
Serge Ibaka,OKC,33.1,0.244068582020389,0.193327154772938,0.0282669138090825,0.0224745134383689,0.0920827795709132,0.0362537764350453,0.446489726027397,0.498394691780822
Nicolas Batum,POR,33.5,0.295820149875104,0.133871773522065,0.134471273938385,0.0274771024146545,0.0928844854762441,0.0626865671641791,0.200843196652197,0.242066144092939
